,title,source
0,더 커지고 더 똑똑해진 대용량 세탁기 대결…삼성·LG 24kg 나란히 출시,중앙일보
1,"삼성·LG, 같은 날 24kg 세탁기 공개하며 정면 충돌",ZDNet Korea언론사 선정
2,"삼성·LG, 최대용량 24kg 세탁기 출시…외형은 그대로",메트로신문
3,"의류 관리기 관심도, LG전자 '트롬 스타일러'가 삼성·웅진코웨이 압도",베타뉴스
4,개미들 4월 삼성 팔고 KB·SK하이닉스·셀트리온 샀다,핀포인트뉴스
5,[테크뷰+] “국내 최대 용량·최신 사양” LG vs 삼성 세탁기戰,뷰어스
6,"삼성‧LG 세탁기 경쟁, 올해 이슈는 '최대 세탁용량'",서울와이어
7,"삼성·LG, 나란히 국내 최대 24㎏ 용량 세탁기 출시",머니투데이
8,코로나19가 몰고온 '언택트 바람'...삼성전자도 '닷컴핫딜'로 고객잡기,뉴스핌
9,"""삼성‧LG 직원 잡자""… 아우디·벤츠 동탄서 붙었다.",머니S언론사 선정
10,더 커지고 더 똑똑해진 대용량 세탁기 대결…삼성·LG 24kg 나란히 출시,중앙일보
11,"삼성·LG, 같은 날 24kg 세탁기 공개하며 정면 충돌",ZDNet Korea언론사 선정
12,"삼성·LG, 최대용량 24kg 세탁기 출시…외형은 그대로",메트로신문
13,"의류 관리기 관심도, LG전자 '트롬 스타일러'가 삼성·웅진코웨이 압도",베타뉴스
14,개미들 4월 삼성 팔고 KB·SK하이닉스·셀트리온 샀다,핀포인트뉴스
15,[테크뷰+] “국내 최대 용량·최신 사양” LG vs 삼성 세탁기戰,뷰어스
16,"삼성‧LG 세탁기 경쟁, 올해 이슈는 '최대 세탁용량'",서울와이어
17,"삼성·LG, 나란히 국내 최대 24㎏ 용량 세탁기 출시",머니투데이
18,코로나19가 몰고온 '언택트 바람'...삼성전자도 '닷컴핫딜'로 고객잡기,뉴스핌
19,"""삼성‧LG 직원 잡자""… 아우디·벤츠 동탄서 붙었다.",머니S언론사 선정
20,더 커지고 더 똑똑해진 대용량 세탁기 대결…삼성·LG 24kg 나란히 출시,중앙일보
21,"삼성·LG, 같은 날 24kg 세탁기 공개하며 정면 충돌",ZDNet Korea언론사 선정
22,"삼성·LG, 최대용량 24kg 세탁기 출시…외형은 그대로",메트로신문
23,"의류 관리기 관심도, LG전자 '트롬 스타일러'가 삼성·웅진코웨이 압도",베타뉴스
24,개미들 4월 삼성 팔고 KB·SK하이닉스·셀트리온 샀다,핀포인트뉴스
25,[테크뷰+] “국내 최대 용량·최신 사양” LG vs 삼성 세탁기戰,뷰어스
26,"삼성‧LG 세탁기 경쟁, 올해 이슈는 '최대 세탁용량'",서울와이어
27,"삼성·LG, 나란히 국내 최대 24㎏ 용량 세탁기 출시",머니투데이
28,코로나19가 몰고온 '언택트 바람'...삼성전자도 '닷컴핫딜'로 고객잡기,뉴스핌
29,"""삼성‧LG 직원 잡자""… 아우디·벤츠 동탄서 붙었다.",머니S언론사 선정
